Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
Spain,La Liga,(BET),Juanmi Callejon,1849,11,6.62,1.03,2016
Spain,La Liga,(BAR),Antoine Griezmann,3129,16,11.86,1.24,2016
Spain,La Liga,(ATL),Luis Suarez,2940,28,23.21,1.84,2016
Spain,La Liga,(CAR),Ruben Castro,2842,13,14.06,1.4,2016
Spain,La Liga,(VAL),Kevin Gameiro,1745,13,10.65,1.25,2016
Spain,La Liga,(JUV),Cristiano Ronaldo,2634,25,24.68,2.16,2016
Spain,La Liga,(RMA),Karim Benzema,1967,11,13.25,1.64,2016
Spain,La Liga,(PSG),Neymar ,2694,13,13.33,1.48,2016
Spain,La Liga,(CEL),Iago Aspas,2354,19,13.88,1.49,2016
Spain,La Liga,(EIB),Sergi Enrich,2904,11,8.25,0.85,2016
Spain,La Liga,,Aduriz ,2480,16,15.92,1.72,2016
Spain,La Liga,(HUE),Sandro Ramlrez,2340,14,7.14,1.54,2016
Spain,La Liga,(BAR),Lionel Messi,2910,37,26.65,2.48,2016
Spain,La Liga,(VIL),Gerard Moreno,3361,13,8.49,0.9,2016
Spain,La Liga,(JUV),Morata,1392,15,9.67,2.05,2016
Spain,La Liga,(MON),Wissam Ben Yedder,1735,11,7.85,1.26,2016
Spain,La Liga,(SOC),Willian Jose,2102,12,8.41,1.31,2016
Spain,La Liga,Florin,Andone ,2984,12,11.62,1.34,2016
Spain,La Liga,(SOC),Cedric Bakambu,1633,10,8.08,1.51,2016
Spain,La Liga,(RMA),Isco,1690,10,3.91,0.84,2016
Italy,Serie A,(LIV),Mohamed Salah,2567,15,11.62,1.85,2016
Italy,Serie A,(SAS),Gregoire Defrel,2054,12,8.0,1.3,2016
Italy,Serie A,(LAZ),Ciro Immobile,3294,22,19.76,2.83,2016
Italy,Serie A,(VER),Nikola Kalinic,2648,15,15.05,2.19,2016
Italy,Serie A,(NAP),Dries Mertens,2671,28,21.65,3.63,2016
Italy,Serie A,(ATA),Alejandro Gomez,3247,16,11.62,2.19,2016
Italy,Serie A,(FIO),Jose CallejOn,3276,14,11.38,1.65,2016
Italy,Serie A,(BEN),Iago Falque,2633,12,8.04,1.52,2016
Italy,Serie A,(CAG),Giovanni Simeone,2764,12,12.22,1.2,2016
Italy,Serie A,(PSG),Mauro Icardi,3188,24,19.13,1.55,2016
Italy,Serie A,(CRZ),Diego Falcinelli,3308,13,11.49,1.87,2016
Italy,Serie A,Cyril,Cyril Thereau,2585,12,9.25,1.76,2016
Italy,Serie A,(ROM),Edin Dzeko,3194,29,30.6,2.94,2016
Italy,Serie A,(NAP),Lorenzo Insigne,3031,18,13.08,2.54,2016
Italy,Serie A,(SAM),Fabio Quagliarella,3030,12,13.71,2.19,2016
Italy,Serie A,Marco,Borriello ,2737,16,7.78,1.77,2016
Italy,Serie A,(VIL),Carlos Bacca,2228,13,14.07,1.66,2016
Italy,Serie A,(IMI),Gonzalo Higuain,3138,24,17.84,2.75,2016
Italy,Serie A,(SAM),Keita Balde,2033,16,7.7,2.24,2016
Italy,Serie A,(TOR),Andrea Belotti,3241,26,19.45,2.29,2016
Germany,Bundesliga,(HKI),Fin Bartels,2315,8,6.34,1.19,2016
Germany,Bundesliga,(BMG),Lars Stindl,2673,11,8.44,1.78,2016
Germany,Bundesliga,(BAY),Serge Gnabry,2028,11,5.76,1.55,2016
Germany,Bundesliga,Sandro,Wagner ,2695,11,12.2,1.23,2016
Germany,Bundesliga,(HOF),Andrej Kramaric,2449,15,13.41,2.33,2016
Germany,Bundesliga,(FCA),Florian Niederlechner,2477,11,10.69,2.15,2016
Germany,Bundesliga,(BAY),Robert Lewandowski,2871,30,30.52,2.85,2016
Germany,Bundesliga,(RBL),Emil Forsberg,2420,8,5.86,1.26,2016
Germany,Bundesliga,(CHE),Timo Werner,2496,21,12.61,1.9,2016
Germany,Bundesliga,(SCF),Nils Petersen,1351,10,9.24,2.32,2016
Germany,Bundesliga,(SCH),Vedad Ibisevic,2772,12,12.84,1.58,2016
Germany,Bundesliga,,Mario Gomez,2950,16,18.32,1.45,2016
Germany,Bundesliga,(WOB),Maximilian Philipp,2000,9,6.11,1.62,2016
Germany,Bundesliga,(MAI),Adam Szalai,833,8,3.95,1.71,2016
Germany,Bundesliga,(ARS),Pierre-Emerick Aubameyang,2894,31,28.94,2.56,2016
Germany,Bundesliga,(STP),Guido Burgstaller,1494,9,8.18,1.53,2016
Germany,Bundesliga,(UNB),Max Kruse,2121,15,8.48,1.25,2016
Germany,Bundesliga,(LAG),Chicharito ,1895,11,11.57,1.5,2016
Germany,Bundesliga,(KOL),Anthony Modeste,3075,25,19.74,1.64,2016
Germany,Bundesliga,(GRO),Arjen Robben,1882,13,4.95,2.62,2016
England,Premier League,(INT),Alexis Sanchez,3385,24,19.24,1.38,2016
England,Premier League,(INT),Romelu Lukaku,3448,25,18.15,1.46,2016
England,Premier League,(TOT),Harry Kane,2636,29,18.87,2.09,2016
England,Premier League,(LEI),Jamie Vardy,2938,13,9.28,0.84,2016
